DATE, Geschäftsklima,Geschäftslage,Geschäftserwartungen,Konjunkturampel
 12/2016,100.9,101.7,100.1,71.1
 01/2017,101.3,101.9,100.7,65.1
 02/2017,101.3,102.5,100.0,67.4
 03/2017,101.9,103.4,100.4,78.4
 04/2017,103.7,105.2,102.2,97.4
 05/2017,102.7,104.4,101.0,88.8
 06/2017,102.7,104.7,100.7,93.8
 07/2017,103.8,106.7,101.0,97.6
 08/2017,103.6,105.6,101.7,91.7
 09/2017,103.9,105.9,101.9,89.1
 10/2017,104.3,106.3,102.4,94.8
 11/2017,105.0,106.6,103.4,92.3
 12/2017,104.7,107.0,102.4,84.0
 01/2018,105.0,108.5,101.6,76.5
 02/2018,104.0,107.6,100.5,47.0
 03/2018,103.9,106.9,100.9,26.9
 04/2018,103.5,106.5,100.6,7.6
 05/2018,102.8,106.7,99.1,18.5
 06/2018,101.7,105.8,97.7,14.7
 07/2018,101.7,106.0,97.5,21.4
 08/2018,103.8,107.0,100.7,93.3
 09/2018,103.8,107.2,100.5,85.0
 10/2018,102.9,106.2,99.6,52.8
 11/2018,102.3,106.2,98.6,23.5
 12/2018,101.1,105.2,97.2,8.7
 01/2019,99.5,104.9,94.4,1.2
 02/2019,98.7,103.7,93.9,4.0
 03/2019,99.9,104.1,95.8,43.5
 04/2019,100.7,104.4,97.0,29.7
 05/2019,98.3,101.4,95.3,6.9
 06/2019,96.8,101.2,92.7,8.6
 07/2019,95.5,100.0,91.2,1.3
 08/2019,94.2,97.3,91.1,1.3
 09/2019,94.8,98.8,91.0,18.3
 10/2019,95.0,97.9,92.1,27.1
 11/2019,95.3,98.3,92.5,46.7
 12/2019,96.5,99.1,93.9,89.1
 01/2020,96.0,99.6,92.5,74.8
 02/2020,95.9,99.0,93.0,77.7
 03/2020,86.2,92.9,80.0,0.7
 04/2020,75.0,79.3,71.0,0.0
 05/2020,79.5,78.6,80.5,92.8
 06/2020,85.4,80.9,90.1,86.1
 07/2020,89.4,84.3,94.9,99.9
 08/2020,92.1,87.7,96.8,99.2
