Woche,Auto Finanzierung
2014-12-28,60
2015-01-04,68
2015-01-11,67
2015-01-18,89
2015-01-25,70
2015-02-01,82
2015-02-08,67
2015-02-15,71
2015-02-22,74
2015-03-01,87
2015-03-08,98
2015-03-15,76
2015-03-22,70
2015-03-29,63
2015-04-05,70
2015-04-12,75
2015-04-19,76
2015-04-26,65
2015-05-03,62
2015-05-10,68
2015-05-17,61
2015-05-24,62
2015-05-31,63
2015-06-07,69
2015-06-14,68
2015-06-21,68
2015-06-28,69
2015-07-05,68
2015-07-12,69
2015-07-19,80
2015-07-26,80
2015-08-02,67
2015-08-09,84
2015-08-16,78
2015-08-23,77
2015-08-30,59
2015-09-06,54
2015-09-13,70
2015-09-20,76
2015-09-27,56
2015-10-04,64
2015-10-11,69
2015-10-18,79
2015-10-25,58
2015-11-01,72
2015-11-08,69
2015-11-15,72
2015-11-22,57
2015-11-29,49
2015-12-06,67
2015-12-13,56
2015-12-20,54
2015-12-27,60
2016-01-03,59
2016-01-10,80
2016-01-17,96
2016-01-24,79
2016-01-31,79
2016-02-07,80
2016-02-14,75
2016-02-21,68
2016-02-28,68
2016-03-06,78
2016-03-13,86
2016-03-20,61
2016-03-27,80
2016-04-03,77
2016-04-10,77
2016-04-17,92
2016-04-24,88
2016-05-01,65
2016-05-08,64
2016-05-15,83
2016-05-22,83
2016-05-29,70
2016-06-05,68
2016-06-12,57
2016-06-19,59
2016-06-26,72
2016-07-03,68
2016-07-10,54
2016-07-17,64
2016-07-24,70
2016-07-31,69
2016-08-07,69
2016-08-14,59
2016-08-21,80
2016-08-28,73
2016-09-04,64
2016-09-11,77
2016-09-18,67
2016-09-25,69
2016-10-02,57
2016-10-09,70
2016-10-16,60
2016-10-23,59
2016-10-30,59
2016-11-06,70
2016-11-13,75
2016-11-20,64
2016-11-27,70
2016-12-04,59
2016-12-11,50
2016-12-18,61
2016-12-25,62
2017-01-01,80
2017-01-08,79
2017-01-15,86
2017-01-22,84
2017-01-29,81
2017-02-05,86
2017-02-12,99
2017-02-19,88
2017-02-26,78
2017-03-05,83
2017-03-12,89
2017-03-19,84
2017-03-26,87
2017-04-02,72
2017-04-09,73
2017-04-16,93
2017-04-23,66
2017-04-30,73
2017-05-07,78
2017-05-14,76
2017-05-21,72
2017-05-28,75
2017-06-04,73
2017-06-11,71
2017-06-18,82
2017-06-25,73
2017-07-02,73
2017-07-09,71
2017-07-16,79
2017-07-23,68
2017-07-30,77
2017-08-06,76
2017-08-13,85
2017-08-20,77
2017-08-27,81
2017-09-03,93
2017-09-10,74
2017-09-17,78
2017-09-24,81
2017-10-01,79
2017-10-08,80
2017-10-15,69
2017-10-22,82
2017-10-29,65
2017-11-05,70
2017-11-12,67
2017-11-19,64
2017-11-26,72
2017-12-03,59
2017-12-10,58
2017-12-17,52
2017-12-24,72
2017-12-31,68
2018-01-07,81
2018-01-14,84
2018-01-21,83
2018-01-28,90
2018-02-04,72
2018-02-11,66
2018-02-18,90
2018-02-25,100
2018-03-04,85
2018-03-11,89
2018-03-18,87
2018-03-25,89
2018-04-01,60
2018-04-08,83
2018-04-15,72
2018-04-22,80
2018-04-29,83
2018-05-06,68
2018-05-13,77
2018-05-20,82
2018-05-27,79
2018-06-03,72
2018-06-10,73
2018-06-17,73
2018-06-24,70
2018-07-01,71
2018-07-08,74
2018-07-15,82
2018-07-22,67
2018-07-29,65
2018-08-05,73
2018-08-12,77
2018-08-19,64
2018-08-26,63
2018-09-02,74
2018-09-09,75
2018-09-16,76
2018-09-23,70
2018-09-30,76
2018-10-07,78
2018-10-14,73
2018-10-21,77
2018-10-28,78
2018-11-04,78
2018-11-11,81
2018-11-18,62
2018-11-25,77
2018-12-02,69
2018-12-09,64
2018-12-16,58
2018-12-23,68
2018-12-30,67
