Woche,BMW
2014-12-28,70
2015-01-04,69
2015-01-11,79
2015-01-18,81
2015-01-25,76
2015-02-01,83
2015-02-08,83
2015-02-15,82
2015-02-22,81
2015-03-01,91
2015-03-08,90
2015-03-15,91
2015-03-22,90
2015-03-29,87
2015-04-05,89
2015-04-12,88
2015-04-19,86
2015-04-26,89
2015-05-03,86
2015-05-10,89
2015-05-17,83
2015-05-24,87
2015-05-31,83
2015-06-07,84
2015-06-14,85
2015-06-21,85
2015-06-28,79
2015-07-05,82
2015-07-12,86
2015-07-19,82
2015-07-26,79
2015-08-02,80
2015-08-09,82
2015-08-16,82
2015-08-23,80
2015-08-30,77
2015-09-06,79
2015-09-13,84
2015-09-20,86
2015-09-27,79
2015-10-04,81
2015-10-11,84
2015-10-18,82
2015-10-25,81
2015-11-01,79
2015-11-08,76
2015-11-15,72
2015-11-22,73
2015-11-29,70
2015-12-06,69
2015-12-13,73
2015-12-20,75
2015-12-27,72
2016-01-03,73
2016-01-10,77
2016-01-17,71
2016-01-24,73
2016-01-31,80
2016-02-07,81
2016-02-14,86
2016-02-21,79
2016-02-28,84
2016-03-06,100
2016-03-13,91
2016-03-20,89
2016-03-27,91
2016-04-03,93
2016-04-10,94
2016-04-17,89
2016-04-24,95
2016-05-01,89
2016-05-08,87
2016-05-15,84
2016-05-22,84
2016-05-29,82
2016-06-05,83
2016-06-12,78
2016-06-19,81
2016-06-26,76
2016-07-03,76
2016-07-10,83
2016-07-17,77
2016-07-24,82
2016-07-31,84
2016-08-07,81
2016-08-14,78
2016-08-21,77
2016-08-28,77
2016-09-04,80
2016-09-11,79
2016-09-18,83
2016-09-25,84
2016-10-02,82
2016-10-09,90
2016-10-16,83
2016-10-23,80
2016-10-30,76
2016-11-06,80
2016-11-13,80
2016-11-20,75
2016-11-27,76
2016-12-04,70
2016-12-11,71
2016-12-18,67
2016-12-25,71
2017-01-01,68
2017-01-08,76
2017-01-15,78
2017-01-22,75
2017-01-29,81
2017-02-05,84
2017-02-12,84
2017-02-19,78
2017-02-26,84
2017-03-05,86
2017-03-12,87
2017-03-19,87
2017-03-26,88
2017-04-02,85
2017-04-09,85
2017-04-16,84
2017-04-23,82
2017-04-30,82
2017-05-07,83
2017-05-14,85
2017-05-21,83
2017-05-28,83
2017-06-04,80
2017-06-11,80
2017-06-18,80
2017-06-25,76
2017-07-02,79
2017-07-09,83
2017-07-16,80
2017-07-23,80
2017-07-30,82
2017-08-06,86
2017-08-13,78
2017-08-20,76
2017-08-27,76
2017-09-03,78
2017-09-10,77
2017-09-17,75
2017-09-24,72
2017-10-01,77
2017-10-08,73
2017-10-15,77
2017-10-22,74
2017-10-29,79
2017-11-05,80
2017-11-12,78
2017-11-19,72
2017-11-26,70
2017-12-03,74
2017-12-10,72
2017-12-17,67
2017-12-24,67
2017-12-31,66
2018-01-07,75
2018-01-14,75
2018-01-21,81
2018-01-28,78
2018-02-04,78
2018-02-11,74
2018-02-18,80
2018-02-25,87
2018-03-04,86
2018-03-11,85
2018-03-18,80
2018-03-25,83
2018-04-01,83
2018-04-08,82
2018-04-15,78
2018-04-22,83
2018-04-29,81
2018-05-06,79
2018-05-13,79
2018-05-20,78
2018-05-27,77
2018-06-03,75
2018-06-10,78
2018-06-17,77
2018-06-24,76
2018-07-01,77
2018-07-08,79
2018-07-15,77
2018-07-22,75
2018-07-29,76
2018-08-05,74
2018-08-12,78
2018-08-19,78
2018-08-26,72
2018-09-02,76
2018-09-09,75
2018-09-16,78
2018-09-23,79
2018-09-30,84
2018-10-07,81
2018-10-14,82
2018-10-21,78
2018-10-28,76
2018-11-04,80
2018-11-11,77
2018-11-18,74
2018-11-25,69
2018-12-02,72
2018-12-09,69
2018-12-16,71
2018-12-23,69
2018-12-30,66
