Woche,Auto Leasing
2014-12-28,43
2015-01-04,48
2015-01-11,56
2015-01-18,62
2015-01-25,58
2015-02-01,62
2015-02-08,55
2015-02-15,59
2015-02-22,54
2015-03-01,55
2015-03-08,59
2015-03-15,54
2015-03-22,54
2015-03-29,53
2015-04-05,54
2015-04-12,52
2015-04-19,56
2015-04-26,51
2015-05-03,57
2015-05-10,53
2015-05-17,49
2015-05-24,49
2015-05-31,44
2015-06-07,53
2015-06-14,63
2015-06-21,57
2015-06-28,53
2015-07-05,55
2015-07-12,56
2015-07-19,62
2015-07-26,58
2015-08-02,50
2015-08-09,66
2015-08-16,66
2015-08-23,60
2015-08-30,61
2015-09-06,53
2015-09-13,64
2015-09-20,58
2015-09-27,53
2015-10-04,60
2015-10-11,58
2015-10-18,55
2015-10-25,52
2015-11-01,56
2015-11-08,52
2015-11-15,56
2015-11-22,65
2015-11-29,49
2015-12-06,51
2015-12-13,48
2015-12-20,55
2015-12-27,56
2016-01-03,52
2016-01-10,60
2016-01-17,67
2016-01-24,68
2016-01-31,62
2016-02-07,58
2016-02-14,60
2016-02-21,60
2016-02-28,62
2016-03-06,59
2016-03-13,65
2016-03-20,47
2016-03-27,59
2016-04-03,60
2016-04-10,66
2016-04-17,67
2016-04-24,67
2016-05-01,62
2016-05-08,62
2016-05-15,70
2016-05-22,63
2016-05-29,60
2016-06-05,58
2016-06-12,57
2016-06-19,58
2016-06-26,57
2016-07-03,58
2016-07-10,58
2016-07-17,59
2016-07-24,62
2016-07-31,61
2016-08-07,64
2016-08-14,64
2016-08-21,65
2016-08-28,74
2016-09-04,67
2016-09-11,71
2016-09-18,75
2016-09-25,73
2016-10-02,66
2016-10-09,70
2016-10-16,61
2016-10-23,64
2016-10-30,68
2016-11-06,59
2016-11-13,64
2016-11-20,60
2016-11-27,54
2016-12-04,49
2016-12-11,61
2016-12-18,54
2016-12-25,61
2017-01-01,65
2017-01-08,80
2017-01-15,82
2017-01-22,82
2017-01-29,73
2017-02-05,74
2017-02-12,75
2017-02-19,76
2017-02-26,76
2017-03-05,90
2017-03-12,91
2017-03-19,88
2017-03-26,100
2017-04-02,89
2017-04-09,84
2017-04-16,81
2017-04-23,74
2017-04-30,76
2017-05-07,74
2017-05-14,72
2017-05-21,77
2017-05-28,80
2017-06-04,81
2017-06-11,78
2017-06-18,83
2017-06-25,77
2017-07-02,75
2017-07-09,85
2017-07-16,84
2017-07-23,80
2017-07-30,88
2017-08-06,86
2017-08-13,77
2017-08-20,78
2017-08-27,71
2017-09-03,77
2017-09-10,73
2017-09-17,75
2017-09-24,75
2017-10-01,74
2017-10-08,77
2017-10-15,79
2017-10-22,78
2017-10-29,75
2017-11-05,72
2017-11-12,73
2017-11-19,65
2017-11-26,69
2017-12-03,62
2017-12-10,59
2017-12-17,59
2017-12-24,63
2017-12-31,67
2018-01-07,73
2018-01-14,78
2018-01-21,83
2018-01-28,85
2018-02-04,81
2018-02-11,81
2018-02-18,86
2018-02-25,96
2018-03-04,84
2018-03-11,86
2018-03-18,82
2018-03-25,76
2018-04-01,76
2018-04-08,82
2018-04-15,75
2018-04-22,79
2018-04-29,77
2018-05-06,74
2018-05-13,79
2018-05-20,82
2018-05-27,81
2018-06-03,82
2018-06-10,86
2018-06-17,75
2018-06-24,73
2018-07-01,71
2018-07-08,79
2018-07-15,72
2018-07-22,74
2018-07-29,79
2018-08-05,78
2018-08-12,81
2018-08-19,79
2018-08-26,74
2018-09-02,84
2018-09-09,82
2018-09-16,78
2018-09-23,77
2018-09-30,90
2018-10-07,91
2018-10-14,81
2018-10-21,88
2018-10-28,79
2018-11-04,79
2018-11-11,80
2018-11-18,81
2018-11-25,75
2018-12-02,78
2018-12-09,77
2018-12-16,71
2018-12-23,80
2018-12-30,84
