"Berichtsmonat";"Bestand Arbeitslose";"Zugang Arbeitslose";"Abgang Arbeitslose";"Arbeitslosenquote"
"September 2016";"2.607.610";"648.140";"724.820";"5,9"
"August 2016";"2.684.290";"653.180";"629.890";"6,1"
"Juli 2016";"2.661.040";"657.540";"610.720";"6,0"
"Juni 2016";"2.614.220";"589.100";"638.900";"5,9"
"Mai 2016";"2.664.010";"577.580";"657.430";"6,0"
"April 2016";"2.743.860";"600.230";"701.260";"6,3"
"März 2016";"2.844.890";"601.880";"668.090";"6,5"
"Februar 2016";"2.911.170";"676.630";"685.890";"6,6"
"Januar 2016";"2.920.420";"764.820";"525.770";"6,7"
"Dezember 2015";"2.681.420";"591.340";"543.100";"6,1"
"November 2015";"2.633.160";"613.280";"629.390";"6,0"
"Oktober 2015";"2.649.280";"595.810";"654.560";"6,0"
"September 2015";"2.708.040";"643.270";"730.780";"6,2"
"August 2015";"2.795.600";"645.010";"622.040";"6,4"
"Juli 2015";"2.772.640";"599.840";"538.390";"6,3"
"Juni 2015";"2.711.190";"587.540";"638.050";"6,2"
"Mai 2015";"2.761.700";"542.600";"623.740";"6,3"
"April 2015";"2.842.840";"660.320";"748.960";"6,5"
"März 2015";"2.931.510";"633.550";"718.990";"6,8"
"Februar 2015";"3.017.000";"630.790";"645.350";"6,9"
"Januar 2015";"3.031.600";"773.290";"505.030";"7,0"
"Dezember 2014";"2.763.520";"626.290";"579.740";"6,4"
"November 2014";"2.716.850";"611.920";"627.840";"6,3"
"Oktober 2014";"2.732.770";"665.750";"740.790";"6,3"
"September 2014";"2.807.810";"613.540";"707.500";"6,5"
"August 2014";"2.901.820";"641.140";"610.650";"6,7"
"Juli 2014";"2.871.350";"667.660";"629.110";"6,6"
"Juni 2014";"2.832.780";"548.440";"597.690";"6,5"
"Mai 2014";"2.882.030";"598.210";"659.520";"6,6"
"April 2014";"2.943.340";"612.160";"723.550";"6,8"
"März 2014";"3.054.720";"628.080";"711.230";"7,1"
"Februar 2014";"3.137.870";"634.420";"632.360";"7,3"
"Januar 2014";"3.135.800";"801.400";"539.410";"7,3"
"Dezember 2013";"2.873.810";"624.500";"556.840";"6,7"
"November 2013";"2.806.150";"610.750";"605.790";"6,5"
"Oktober 2013";"2.801.190";"670.880";"718.620";"6,5"
"September 2013";"2.848.950";"634.580";"731.300";"6,6"
"August 2013";"2.945.710";"709.210";"677.530";"6,8"
"Juli 2013";"2.914.100";"659.840";"610.420";"6,8"
"Juni 2013";"2.864.670";"553.010";"625.260";"6,6"
"Mai 2013";"2.936.920";"609.690";"692.990";"6,8"
"April 2013";"3.020.280";"616.510";"694.050";"7,1"
"März 2013";"3.097.820";"638.980";"697.210";"7,3"
"Februar 2013";"3.156.250";"652.680";"634.610";"7,4"
"Januar 2013";"3.138.230";"797.690";"499.190";"7,4"
"Dezember 2012";"2.839.820";"656.530";"568.160";"6,7"
"November 2012";"2.751.490";"620.320";"622.170";"6,5"
"Oktober 2012";"2.753.360";"650.770";"685.510";"6,5"
"September 2012";"2.788.250";"609.140";"726.080";"6,5"
"August 2012";"2.905.110";"705.470";"676.160";"6,8"
"Juli 2012";"2.875.970";"651.120";"584.150";"6,8"
"Juni 2012";"2.809.110";"520.650";"566.720";"6,6"
"Mai 2012";"2.855.270";"623.930";"731.820";"6,7"
"April 2012";"2.963.570";"614.720";"679.530";"7,0"
"März 2012";"3.028.410";"627.110";"708.490";"7,2"
"Februar 2012";"3.110.440";"655.690";"628.040";"7,4"
"Januar 2012";"3.084.710";"837.620";"539.140";"7,3"
"Dezember 2011";"2.780.980";"671.710";"604.540";"6,6"
"November 2011";"2.713.810";"695.950";"719.810";"6,4"
"Oktober 2011";"2.737.670";"606.590";"665.230";"6,5"
"September 2011";"2.796.310";"636.130";"785.290";"6,6"
"August 2011";"2.945.550";"747.790";"742.200";"7,0"
"Juli 2011";"2.939.950";"686.480";"640.530";"7,0"
"Juni 2011";"2.893.990";"645.730";"712.360";"6,9"
"Mai 2011";"2.960.620";"588.850";"706.760";"7,0"
"April 2011";"3.078.570";"650.930";"783.470";"7,3"
